Abstract,Keywords
"Ischemic brain is particularly susceptible to free radicals mediated secondary neuronal damage, especially mitochondrial dysfunctions. Chinese Herbal Medicine with antioxidant properties is believed to have potential therapeutic effect. Leonurine, an alkaloid present in Herba Leonuri (HL), has shown biological effects such as antioxidant, anticoagulant, anti-apoptosis and protection against ischemic heart disease. In this study, neuroprotective effects of leonurine against cerebral ischemia/reperfusion-induced mitochondrial dysfunctions in cortex were evaluated. We used transient rat middle cerebral artery occlusion (MCAO) model of brain ischemia. The rats were treated with their respective treatments for 1 week prior to the MCAO. We found that leonurine significantly improved neurological outcome and reduced ischemia/reperfusion (I/R)-induced cerebral infarction 24 h after MCAO. Leonurine decreased reactive oxygen species (ROS) level in mitochondria isolated from ischemic cortex, which was increased by MCAO. Terminal deoxyuridine triphosphate (dUTP) Nick-End Labeling (TUNEL) staining showed anti-apoptotic effect of leonurine on ischemic cortex. Western blot analysis showed a marked decrease in the expression of Bax and an increase of Bcl-2 as a result of leonurine treatment. The attenuation of mitochondrial membrane swelling, restore of mitochondrial membrane potential and content of cytochrome c (Cyt-C) in mitochondria isolated from ischemic cortex could also be observed in leonurine treated group. The findings of this study suggest that leonurine has promising therapeutic effect for ischemic stroke treatment through antioxidant and anti-apoptotic mechanisms.","cerebral ischemia, potential therapeutic effect, brain ischemia, mitochondria, mitochondrial dysfunctions, antioxidant, reperfusion-induced mitochondrial dysfunctions, therapeutic effect, mitochondrial membrane potential, cortex, ischemic cortex, respective treatments, secondary neuronal damage, antioxidant properties, leonurine, effect"
"In an effort to develop potent antiplatelet agents, a series of trihydroxychalcones was synthesized and screened in vitro for their inhibitory effects on washed rabbit platelet aggregation induced by arachidonic acid (100 microM) and collagen (10 microg/ml). Of five compounds with potent inhibitory effects on arachidonic acid- and collagen-induced platelet aggregation, compound 4e was found to be the most potent. The structure-activity relationships suggested that antiplatelet activity was governed to a greater extent by the substituent on B ring of the chalcone template, and most of the active compounds had methoxy or dimethoxy groups on B ring.","collagen-induced platelet aggregation, active compounds, b ring, potent inhibitory effects, arachidonic acid-, chalcone template, ring, greater extent, arachidonic acid, b, template, rabbit platelet aggregation, dimethoxy groups, chalcone, antiplatelet activity"
"Cost-containment regulations and possible legislative changes in the tax area are creating new environments for the acquisition of nuclear magnetic resonance (NMR) systems. Shared services, management groups, and free-standing clinics are being established. Creativity in financing will be required to assure the cost-effectiveness of NMR services.","possible legislative changes, acquisition, tax area, nuclear magnetic resonance, new environments, groups, nmr, services, management groups, environments, nmr services"
"The aim was to demonstrate the applicability of using mini organ cultures (MOC) of the human parotid gland for indicating DNA damage by nicotine. Macroscopically healthy specimens of human parotid glands (1 mm3) were cultured for 7 d. Morphology was examined after HE and immunohistochemical staining of alpha-amylase. MOC were exposed to 2.0 mM nicotine or 100 microM methyl methane sulfonate (MMS) for 1, 2 and 3 h, followed by a regeneration period of 24 h. DNA damage was assessed by the comet assay. Histological findings demonstrated healthy acinar cells up to 8 days of culture and a strong expression pattern of alpha-amylase. Cells in the centre of mini organs showed a granular cytoplasm starting at day 3. 1-3 h nicotine exposure significantly increased DNA damage as determined by DNA in the tail (DT), with no significant differences with increasing exposure time and only a trend towards decreased values of DT after regeneration. MMS demonstrated a time-dependent increase in DNA damage and distinctly reduced DT values after regeneration. MOC may be used to study DNA damage and repair after repetitive exposure to xenobiotics. They provide additional information for in vitro studies of cells growing in an intact tissue structure.","mini organ cultures, alpha-amylase, values, comet, damage, culture, dna damage, dna, h nicotine exposure, time-dependent increase, intact tissue structure, immunohistochemical staining, healthy acinar cells, mini organs, regeneration period, h. dna damage"
"The study was designed to investigate the factors driving the academics to engage in work-related knowledge sharing activity using a conceptual model adapted from Theory of Planned Behaviour (TPB) of Ajzen (1991) and the two affective components (affective commitment and affect-based trust).A descriptive survey research design covering academics in all departments of the five faculties in The Polytechnic, Ibadan was employed.The literature review covered knowledge management KM, knowledge sharing KS and knowledge sharing behaviour KSB. Self-structured questionnaire based on the adapted model were administered as data collection instrument. Completeenumeration survey study was carried out because the total study population was about 346 lecturers and the same copies of questionnaire were distributed to the academics across the five faculties of the polytechnic of which 235 copies were returned. The data was analysed using descriptive and inferential statistics.Academics of The Polytechnic, Ibadan will be willing to share their work-related knowledge if both the factors encouraging and inhibiting sharing of knowledge with their colleagues are adequately addressed.The result shows, on one hand, that perceived behavioural control (.000) and affective commitment (.000) were significant predictors of intention to share knowledge while attitude (.066), subjective norm (.308) and affect-based trust (.694)are not.On the other hand, academics’ intention toshare knowledge (.000) significantly","conceptual model, share, intention toshare knowledge, ksb, descriptive survey research design, adapted model, work-related knowledge, the polytechnic, academics, behaviour, inferential statistics, activity, subjective norm, sharing, knowledge management km, knowledge"
"BACKGROUND
Cholangiocarcinoma (CCA) is the second most common primary hepatic tumor in Germany, with about 3500 new cases per year. In recent years, its prognosis has improved because of wider resections and the establishment of local treatment and chemotherapy in the palliative situation.


METHODS
This review is based on pertinent articles that were retrieved by a selective literature search in the PubMed database with the keywords ""cholangiocarcinoma AND diagnostic OR therapy."" Articles in English or German published up to January 2014 were considered.


RESULTS
The sole curative treatment for CCA is surgery, but 40-85% of all patients have recurrent disease even after radical excision. Because of this high recurrence rate, adjuvant treatments are now under intense discussion. For unresectable CCA without distant metastases, small case series have shown that liver transplantation can yield promising survival rates of over 50% at 5 years. For many patients with CCA, however, only palliative treatments can be offered, including endoscopic clearing of the biliary pathways. Because of the low prevalence of the disease, there have been only a few phase 3 studies of palliative chemotherapy for CCA. On the basis of one positive phase 3 study, chemotherapy with gemcitabine and cisplatin is considered the standard and now plays an established role in palliative care.


CONCLUSION
CCA presents a special challenge in gastroenterology, oncology, and visceral surgery because of the difficulty in establishing the diagnosis, local complications in the biliary pathways, and a high recurrence rate after resection. Future studies should address not only the role of adjuvant chemotherapy, but also the efficacy of combined local and systemic treatment.","visceral surgery, adjuvant chemotherapy, surgery, systemic treatment, biliary pathways, unresectable cca, promising survival rates, endoscopic clearing, treatment, recurrent disease, established role, adjuvant treatments, palliative situation, wider resections, cca, local complications"
"We present a Monte Carlo algorithm, which samples free energies of complex systems. Less probable configurations are populated with the help of a multitude of additional Gaussian weights and parallel tempering is used for efficient Monte Carlo moves within phase space. The algorithm is easily parallelized and can be applied to a wide class of problems. We discuss algorithmic performance for the case of low-temperature phase separation in two-dimensional and three-dimensional Ising models, where we determine the magnetic interface tension. Multiple Gaussian modified ensemble simulations, unlike multicanonical ensemble simulations do not require a priori knowledge of the free energy and are of similar efficiency as multicanonical ensemble and Wang-Landau simulations.","free energy, similar efficiency, phase space, ensemble, monte carlo algorithm, magnetic interface tension, systems, algorithm, multicanonical ensemble simulations, low-temperature phase separation, ensemble simulations, simulations, phase, additional gaussian weights, complex systems, knowledge"
"In skin wounds, the chemokine CXCR3 receptor appears to play a key role in coordinating the switch from regeneration of the ontogenically distinct mesenchymal and epithelial compartments toward maturation. However, because CXCR3 equivalently binds four different ELR-devoid CXC chemokines (ie, PF4/CXCL4, IP-10/CXCL10, MIG/CXCL9, and IP-9/CXCL11), we sought to identify the ligand that coordinates epidermal coverage with the maturation of the underlying superficial dermis. Because CXCL11 (IP-9 or I-TAC) is produced by redifferentiating keratinocytes late in the regenerative phase when re-epithelialization is completed and matrix maturation ensues, we generated mice in which an antisense construct (IP-9AS) eliminated IP-9 expression during the wound-healing process. Both full and partial thickness excisional wounds were created and analyzed histologically throughout a 2-month period. Wound healing was impaired in the IP-9AS mice, with a hypercellular and immature dermis noted even after 60 days. Re-epithelialization was delayed with a deficient delineating basement membrane persisting in mice expressing the IP-9AS construct. Provisional matrix components persisted in the dermis, and the mature basement membrane components laminin V and collagen IV were severely diminished. Interestingly, the inflammatory response was not diminished despite IP-9/I-TAC being chemotactic for such cells. We conclude that IP-9 is a key ligand in the CXCR3 signaling system for wound repair, promoting re-epithelialization and modulating the maturation of the superficial dermis.","underlying superficial dermis, wound-healing process, key ligand, antisense construct, immature dermis, mice, matrix maturation ensues, maturation, ip-9as mice, ip-9as construct, epidermal coverage, superficial dermis, dermis, ip-9as, such cells, construct"
"The nitrilo-triacetate trianion in the title compound, [Zn(2)(C(6)H(6)NO(6))(C(12)H(8)N(2))(3)]NO(3)·6H(2)O, is engaged in N,O,O',O""-chelation to the phenanthroline-chelated Zn(II) unit, giving a distorted octa-hedral geometry for the metal atom. One of the three O atoms of the trianion that is engaged in chelation also binds to the bis-(phenanthroline)-chelated Zn(II) unit, whose five-coordinate geometry is distorted owing to a long Zn⋯O inter-action [2.401 (2) Å]. The dinuclear cations, nitrate anions and uncoordinated water mol-ecules are linked into a three-dimensional network via O-H⋯O hydrogen bonds between water molecules and carboxylate O atoms.","nitrilo-triacetate trianion, atoms, long zn⋯o inter-action, uncoordinated water mol-ecules, title compound, inter-action, bis-(phenanthroline)-chelated zn(ii, phenanthroline-chelated zn(ii, trianion, metal atom, octa-hedral geometry, unit, geometry, o atoms"
"We read with great interest the article by Suzuki et al. [1] regarding antegrade selective cerebral perfusion (SCP) with lower body circulatory arrest (LBCA) at moderate body core temperatures of 30–32°C. We agree with the authors that antegrade SCP, utilizing deep hypothermic circulatory arrest (21–27°C) to safeguard the protection of the visceral end-organs and the spinal cord, has become the most efficient neuroprotective strategy during transverse aortic arch repair over the past decades. However, as described by the authors, antegrade SCP is being increasingly utilized in combination with progressively increasing body core temperatures [1], a trend culminating in the advocation of moderate-to-mild temperatures (up to 35°C) and even normothermia [2]. Suzuki et al. report on their technique of total aortic arch repair in a contemporary series of 105 patients using a quadrifurcated Dacron graft. The authors proclaim that they routinely aim for deeper body core temperatures (25°C) to ensure lower body-organ protection when LBCA is expected to exceed a duration of 30 min. However, the authors also state that in ‘almost all cases... the core temperature was still 30–32°C’ with a mean LBCA time of 58 ± 22 min in the reported series [1]. This progressive approach may bear potential risks for the non-perfused organs in case of prolonged operation times—apparently not only in case of unexpected technical problems (as documented by an average of 58 min of LBCA) [3, 4]. The authors also admit that they are not familiar with the safe limits of spinal cord ischaemic tolerance during distal circulatory arrest at mild hypothermia. In fact, the ischaemic tolerance of the spinal cord and the visceral organs has not yet been clearly defined, and is therefore not well recognized in clinical practice. A consensus paper of the EACTS Vascular Domain is currently underway to address this issue. However, with regard to recent experimental data, the safe ischaemic interval for the spinal cord—utilizing the currently available state—of—the—art adjuncts for intraoperative neuroprotection—may be estimated as follows [2, 5]:","quadrifurcated dacron graft, lower body circulatory arrest, mean lbca time, min, deeper body core temperatures, total aortic arch repair, moderate body core temperatures, distal circulatory arrest, safe limits, spinal cord, temperature, patients, lbca, contemporary series, mild hypothermia, past decades"
"Purified enzymes were mixed to form a cell-free system that simulated the conditions for removal of hydrogen peroxide within human erythrocytes. Human glutathione peroxidase disposed of hydrogen peroxide (H2O2) at a rate that was only 17% of the rate at which human catalase simultaneously removed hydrogen peroxide. The relative rates observed were in agreement with the relative rates predicted from the kinetic constants of the two enzymes. These results confirm two earlier studies on intact erythrocytes, which refuted the notion that glutathione peroxidase is the primary enzyme for removal of hydrogen peroxide within erythrocytes. The present findings differ from the results with intact cells, however, in showing that glutathione peroxidase accounts for even less than 50% of the removal of hydrogen peroxide. A means is proposed for calculating the relative contribution of glutathione peroxidase and catalase in other cells and species. The present results raise the possibility that the major function of glutathione peroxidase may be the disposal of organic peroxides rather than the removal of hydrogen peroxide.","erythrocytes, glutathione peroxidase, relative rates, peroxide, glutathione, hydrogen peroxide, human catalase, removal, organic peroxides, peroxidase, human glutathione peroxidase, hydrogen, intact cells, human erythrocytes, notion, intact erythrocytes"
"Current approaches to managing spectrum are polarized and inflexible. They underplay the value that license exemption and opportunistic access could deliver. This paper describes how new geolocation database technology could enable the use of hybrid models combining the advantages of licensing with those of license exemption. It considers how such models could help accelerate infrastructure investment for wireless broadband access, as well as facilitating innovation in wireless technology and services.","license exemption, infrastructure investment, managing spectrum, new geolocation database technology, licensing, wireless broadband access, such models, wireless technology, opportunistic access, technology, use, hybrid models, advantages, access, models"
"Because of its accessibility, skin has been among the first organs analyzed using DNA microarrays. Skin cancers, melanomas, and basal and squamous cell carcinomas have been intensely investigated because they are very frequent and can be fatal. Psoriasis, one of the most common human inflammatory diseases, has been studied comprehensively using DNA microarrays. In addition, epidermal keratinocytes have been the target of many studies because they respond to a rich variety of inflammatory and immunomodulating cytokines, hormones, vitamins, ultraviolet (UV) light, toxins, and physical injury. Because of the ethical considerations, the effects of harmful or dangerous agents on skin have been studied using artificial skin substitutes. Transcriptional mechanisms that regulate epidermal differentiation and cornification have begun to yield their mysteries, and very exciting recent studies identified the genes specifically expressed in epidermal stem cells. Thus, skin has everything: stem cells, differentiation, signaling, inflammation, diseases, and cancer. All these exciting facets of skin have been explored using DNA microarrays. Researchers in skin biology and dermatology were among the first to implement this technology and we expect that they will continue to generate exciting and useful new knowledge.","skin biology, skin cancers, many studies, stem cells, exciting recent studies, first organs, microarrays, dna, squamous cell carcinomas, epidermal stem cells, epidermal differentiation, cells, studies, common human inflammatory diseases, artificial skin substitutes, physical injury"
"It is known that the performance of an optimal control strategy obtained from an off-line computation is degraded under the presence of model–plant mismatch. In order to improve the control performance, a hybrid neural network and on-line optimal control strategy are proposed in this study and demonstrated for the control of a fed-batch bioreactor for ethanol fermentation. The information of the optimal feed profile of the fed-batch reactor. The simulation results show that the neural network provides a good estimate of unmeasured variables and the on-line optimal control with the neural network estimator gives a better control performance in terms of the amount of the desired ethanol product, compared with a conventional off-line optimal control method. & 2009 Elsevier B.V. All rights reserved.","hybrid neural network, optimal control strategy, unmeasured variables, neural network estimator, control, control performance, mismatch, better control performance, optimal feed profile, ethanol fermentation, optimal control, variables, good estimate, performance, conventional off-line optimal control method, model-plant mismatch"
"A 26-year-old male suffering from sudden right lower abdominal pain and lumbago was referred to our hospital. Enhanced computed tomography demonstrated bilateral kidneys and spleen infarctions, and a large tumour was found occupying the aortic arch and thoracic descending aorta. We suspected that these infarctions were due to tumour embolization. The aortic arch and thoracic descending aorta were resected with the tumour and then reconstructed using the L-incision technique. A microscopic examination revealed the presence of an intimal sarcoma. The patient was treated with adjuvant chemotherapy and showed a good postoperative course. Neither recurrence nor metastasis has been observed during the 3 years since the operation.","tumour embolization, lower abdominal pain, tumour, adjuvant chemotherapy, aorta, arch, aortic arch, course, good postoperative course, l-incision technique, lumbago, bilateral kidneys, descending aorta, large tumour, infarctions, intimal sarcoma"
"Radiation detector to act as radiation sensor is made by printed circuit board technology for realizing the micro pixel patterns on the large-sized substrate. To improve the radiation sensitively of PWB sensor, it is necessary to enhance the electric discharge properties around pixels under high-voltage condition. We therefore studied the insulating properties of PWB dielectric material experimentally and evaluated PWB sensor structures utilizing simulation technology with the gas amplification process of a recoil electron and read-out signal on sensor electrode. As these results, we could decide about a design and development guideline for a PWB radiation detector products.","recoil electron, radiation sensor, high-voltage condition, electric discharge properties, micro pixel patterns, technology, gas amplification process, pwb sensor structures, process, simulation technology, recoil, pwb dielectric material, pwb radiation detector products, large-sized substrate, pwb sensor, pixels"
"The title compound, dendocarbin A [systematic name: (1R,5aS,9aS,9bR)-1-hydroxy-6,6,9a-trimethyldodecahydronaphtho[1,2-c]furan-3-one], C15H22O3, is a sesquiterpene lactone isolated from Drimys winteri var chilensis. The monoclinic phase described herein displays an identical molecular structure to the orthorhombic phase that we reported previously [Paz Robles et al. (2014). Acta Cryst. C70, 1007-1010], while varying significantly in chain pitch, and can thus be considered as a borderline case of one-dimensional isostructural polymorphism.","chilensis, herein displays, structure, borderline case, orthorhombic phase, identical molecular structure, chain pitch, monoclinic phase, systematic name, al, phase, drimys winteri var chilensis, isostructural polymorphism"
"Ecological explanations have been put forward to account for the precocious or delayed development of patency in ducts leading to the vomeronasal organ (VNO) in certain mammals. Perinatal function may be related, in part, to the patency or fusion of the vomeronasal and nasopalatine (NPD) ducts. However, few studies have focused on NPD development in primates, which generally have a prolonged period of dependence during infancy. In this study we examined 24 prenatal primates and 13 neonatal primates, and a comparative sample of fetal mice and insectivores. In embryonic and early fetal Microcebus murinus, the NPD was completely fused, whereas in fetuses of later stages the duct was partially fused or completely patent. M. myoxinus of all stages demonstrated some degree of NPD fusion. In all other prenatal primates, the NPD was fused to some extent. Four prenatal insectivores (Tenrec ecaudatus) showed some degree of NPD fusion. In Mus musculus at 19 days gestation, the NPD was patent, although the anatomically separate VNO duct was fused. T. ecaudatus and most of the neonatal primates revealed complete NPD patency. An exception was Saguinus geoffroyi, which exhibited fusion of the NPD near the VNO opening. These observations may relate to differences in perinatal VNO function. The differences noted in our study suggest that M. murinus and M. myoxinus may differ in perinatal VNO functionality and perhaps in related behavior. Observations of neonatal primates suggest that NPD patency may be relatively common at birth and could serve other purposes in addition to being an access route for VNO stimuli.","vomeronasal, early fetal microcebus murinus, npd patency, vno opening, geoffroyi, fusion, npd development, vno, separate vno duct, patency, vomeronasal organ, complete npd patency, vno stimuli, neonatal primates, npd fusion, patent"
